name,description,price,discountPrice,category,brand,stock,images,tags
"Apple iPhone 15 Pro","Latest flagship smartphone with A17 Pro chip, titanium design, and advanced camera system",119900,109900,Electronics,Apple,50,"https://images.pexels.com/photos/788946/pexels-photo-788946.jpeg","smartphone,apple,mobile,5g"
"Samsung Galaxy S24 Ultra","Premium Android phone with S Pen, 200MP camera, and AI features",124900,114900,Electronics,Samsung,45,"https://images.pexels.com/photos/1092644/pexels-photo-1092644.jpeg","smartphone,samsung,android,mobile"
"Sony WH-1000XM5 Headphones","Industry-leading noise canceling wireless headphones",29900,26900,Electronics,Sony,100,"https://images.pexels.com/photos/3394650/pexels-photo-3394650.jpeg","headphones,audio,wireless,noise-canceling"
"MacBook Pro 16-inch","Powerful laptop with M3 Max chip, stunning Liquid Retina XDR display",249900,239900,Electronics,Apple,30,"https://images.pexels.com/photos/18105/pexels-photo.jpg","laptop,apple,macbook,computer"
"Dell XPS 15 Laptop","Premium Windows laptop with Intel Core i7, 4K display",159900,149900,Electronics,Dell,40,"https://images.pexels.com/photos/1229861/pexels-photo-1229861.jpeg","laptop,dell,windows,computer"
"iPad Air 5th Gen","Versatile tablet with M1 chip, perfect for creativity and productivity",59900,54900,Electronics,Apple,60,"https://images.pexels.com/photos/1334597/pexels-photo-1334597.jpeg","tablet,ipad,apple,portable"
"Samsung 55-inch 4K Smart TV","Crystal clear 4K UHD display with smart features and streaming apps",54900,49900,Electronics,Samsung,25,"https://images.pexels.com/photos/1201996/pexels-photo-1201996.jpeg","tv,4k,smart-tv,entertainment"
"Canon EOS R6 Camera","Full-frame mirrorless camera with 20MP sensor and 4K video",209900,199900,Electronics,Canon,20,"https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg","camera,photography,mirrorless,canon"
"Nikon Z6 II Camera","Dual-processor full-frame camera with excellent low-light performance",189900,179900,Electronics,Nikon,18,"https://images.pexels.com/photos/51383/photo-camera-subject-photographer-51383.jpeg","camera,nikon,photography,professional"
"PlayStation 5","Next-gen gaming console with ultra-fast SSD and ray tracing",49900,46900,Electronics,Sony,35,"https://images.pexels.com/photos/371924/pexels-photo-371924.jpeg","gaming,playstation,console,entertainment"
"Nike Air Max 270","Comfortable running shoes with Max Air cushioning",12999,9999,Fashion,Nike,150,"https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg","shoes,sneakers,running,sportswear"
"Adidas Ultraboost 23","Premium running shoes with responsive Boost cushioning",17999,14999,Fashion,Adidas,120,"https://images.pexels.com/photos/1598505/pexels-photo-1598505.jpeg","shoes,running,adidas,athletic"
"Levi's 501 Original Jeans","Classic straight-fit jeans in authentic denim",4999,3999,Fashion,Levis,200,"https://images.pexels.com/photos/1082529/pexels-photo-1082529.jpeg","jeans,denim,casual,pants"
"Zara Slim Fit Blazer","Modern slim-fit blazer perfect for formal occasions",8999,6999,Fashion,Zara,80,"https://images.pexels.com/photos/1043474/pexels-photo-1043474.jpeg","blazer,formal,jacket,office-wear"
