name,description,price,discountPrice,category,brand,stock,images,tags,rating,numReviews
"Nike Air Max 270","Premium lifestyle sneaker featuring Nike's largest heel Air unit yet. Engineered mesh upper provides lightweight breathability.",12999,11499,Footwear,Nike,75,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/skwgyqrbfzhu6uyeh0gg/air-max-270-shoes-2V5C4p.png","sneakers,nike,running,lifestyle",4.5,128
"Adidas Ultraboost 22","Responsive running shoes with energy-returning Boost cushioning. Made with recycled materials.",14999,13499,Footwear,Adidas,60,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/fbaf991a78bc4896a3e9ad7800abcec6_9366/Ultraboost_22_Shoes_Black_GZ0127_01_standard.jpg","running,adidas,boost,athletic",4.7,245
"Levi's 501 Original Jeans","The original button fly jean that started it all. Straight leg fit with signature 5-pocket styling.",5999,4999,Clothing,Levi's,100,"https://lsco.scene7.com/is/image/lsco/005010114-front-pdp?fmt=jpeg&qlt=70,1&op_sharpen=0&resMode=sharp2&op_usm=0.8,1,10,0&fit=crop,0&wid=1200&hei=1800","jeans,denim,levis,classic",4.6,892
"Ray-Ban Aviator Classic","Timeless aviator sunglasses with gold frame and green G-15 lenses. 100% UV protection.",15999,13999,Accessories,Ray-Ban,45,"https://assets.ray-ban.com/is/image/RayBan/805289602057_shad_qt?$594$","sunglasses,rayban,aviator,luxury",4.8,567
"Apple AirPods Pro 2","Premium wireless earbuds with Active Noise Cancellation, Transparency mode, and Spatial Audio.",24999,22999,Electronics,Apple,80,"https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/MQD83?wid=1144&hei=1144&fmt=jpeg&qlt=95&.v=1660803972361","airpods,wireless,apple,audio",4.7,1245
"Samsung Galaxy Watch 6","Advanced smartwatch with health tracking, ECG, sleep analysis, and workout detection.",27999,25999,Electronics,Samsung,55,"https://images.samsung.com/is/image/samsung/p6pim/in/2307/gallery/in-galaxy-watch6-r935-sm-r930nzkains-537686067?$684_547_PNG$","smartwatch,samsung,fitness,tech",4.5,328
"Sony WH-1000XM5","Industry-leading noise cancelling headphones with exceptional sound quality.",34999,31999,Electronics,Sony,40,"https://electronics.sony.com/image/5d02da67df132b016ad9a239fed1a831?fmt=png-alpha&wid=1200","headphones,sony,wireless,audio",4.9,892
"Nike Dri-FIT Running Shirt","Moisture-wicking performance t-shirt perfect for running and training.",2499,1999,Clothing,Nike,150,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c668b657-5a7f-4a04-8def-0f4197136556/dri-fit-run-division-rise-365-short-sleeve-running-top-mRSgD9.png","running,nike,workout,fitness",4.4,234
"Puma RS-X Sneakers","Bold chunky sneakers with running system technology and mesh upper.",8999,7499,Footwear,Puma,65,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_1200,h_1200/global/380562/02/sv01/fnd/IND/fmt/png","sneakers,puma,lifestyle,retro",4.3,156
"Under Armour Tech 2.0 Shorts","Lightweight training shorts with quick-dry technology and 4-way stretch.",1999,1699,Clothing,Under Armour,120,"https://underarmour.scene7.com/is/image/Underarmour/V5-1328705-001_FC?rp=standard-0pad|pdpMainDesktop&scl=1&fmt=jpg&qlt=85&resMode=sharp2&cache=on,on&bgc=F0F0F0&wid=566&hei=708&size=566,708","shorts,workout,training,athletic",4.5,445
"Fitbit Charge 5","Advanced fitness tracker with built-in GPS, heart rate monitoring, and stress management.",14999,12999,Electronics,Fitbit,90,"https://www.fitbit.com/global/content/dam/fitbit/global/pdp/devices/charge-5/hero-static/black/charge5-black-device-3qt.png","fitness,tracker,health,smart",4.6,678
"Adidas Tiro Track Pants","Classic training pants with ankle zips and moisture-absorbing AEROREADY technology.",3999,3499,Clothing,Adidas,110,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/9c7058d8677742ac8519ac3f009cdcf4_9366/Tiro_21_Track_Pants_Black_GH7305_21_model.jpg","pants,adidas,training,sports",4.4,567
"New Balance Fresh Foam X","Premium cushioned running shoes with Fresh Foam X midsole technology.",11999,10499,Footwear,New Balance,70,"https://nb.scene7.com/is/image/NB/m1080b12_nb_02_i?$pdpflexf2$&fmt=webp&wid=880&hei=880","running,newbalance,cushioning,athletic",4.7,234
"Fossil Gen 6 Smartwatch","Stylish smartwatch with Wear OS, heart rate monitoring, and SpO2 tracking.",22999,19999,Electronics,Fossil,40,"https://fossil.scene7.com/is/image/FossilPartners/FTW4059_main?$sfcc_fos_large$","smartwatch,fossil,fashion,tech",4.3,189
